1.5, 0.5, 1, 3.33067e-16, 1, 1, 0, 0, 0.5, 1.5, 1, 1.5, 1, 0.5, 0, 0.5, 1.5, 0.5, 0.5, 1.11022e-16, 0, 1.5, 1, 1.5, 0.5, 1.5, 0.5, 1, 0.5, 0.5, 2, 0.5, -0.5, 0, 3.33067e-16, 0.5, 2, 0.5, 0.5, 0.5, -0.5, 1, -0.5, 0.5, 0.5, 1.5, 2, 2, -0.5, 0, 0, -0.5, 1, 2, 1, 0.5, 0.5, 1, -3.33067e-16, 2, 0.5, -0.5, 1.5, 1.5, 1, 1.5, 1.5, 0.5, -1.11022e-16, -3.33067e-16, 2, 1.5, 1.5, 0.5, 1, 1, 2, 0, 1, 1, -1.11022e-16, 1.5, 0.5, 1.5, 1.5, 2, 1, 1, 1, 1.5, 1, 1.5, 2, 1.5, 1, 1.5, 3.33067e-16, 1.5, -0.5, 0.5, 1.5, 0.5, 1.5, 1.5, 2, 1.11022e-16, 1, 1.5, 2, 1, 1.5, 1, -0.5, 0.5, 1.5, 0.5, 2.22045e-16, 2, 2, 0.5, 1.5, 0.5, 0, 1, 0.5, 0.5, 1, -0.5, 0.5, 0.5, 0.5, 0.5, 2, 1.5, -0.5, 1.5, -1.11022e-16, -0.5, -3.33067e-16, 1.5, 1, 1, 1, -0.5, 0, 1, 1, 1.5, 2, 2, 0.5, 1, 1, 2, -0.5, 1.5, 1, 1, 1.5, 0, 1, 1, 1.5, 1.5, 1, 2, 0.5, 0.5, 1, 0.5, 1.5, 1.5, 0, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 0.5, 0.5, 1.5, 2, 1, 1, 2, 0.5, 1.5, 0.5, 0.5, 0, 1, 0.5, -0.5, 2, 1.5, 0.5, 0.5, 1, 0.5, 0.5, 1, 0.5, 1.5, 2, 1.5, 0, 1.5, 2, 0.5, -1, 1, 1.5, 0, 0.5, -0.5, 1, 1.5, 1.5, 0.5, 0.5, 0, 1.5, 0.5, 2, 0.5, 1, -1, -1, 0.5, 1.5, 1.5, 1.5, -3.33067e-16, 0, 1.5, 1.5, 0.5, -0.5, 0.5, 1, 0, 1.5, 0.5, -3.33067e-16, -1, 0.5, 1, 1, 2, 0.5, 0.5, 0, 1, 0, 1
0.5, 1.5, 1.5, 2, 0.5, 1, 1, 1.5, 0, 0, -0.5, 1, 0.5, 1.5, 2, -3.33067e-16, 1, 1, 1.5, 0.5, 0.5, 1, -0.5, 1.5, 0, 1, 0.5, -0.5, 0.5, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1, 0.5, 1, 2, 0, 1, -1, 1, 1.5, 3.33067e-16, 0.5, 0.5, 1.5, 1, 1, 0.5, 3.33067e-16, 0.5, 1, 1, 1.5, 1, 2, 0.5, 1.5, 0, 0.5, 0.5, 1, 1, 1, 0, 2, 1.5, -1, 0.5, 1.5, 0.5, 2, -1, 1.5, 1, 1, 2, 1.5, 0, 0, 1.5, 0.5, 1, 2, 1, 0, 2, 0.5, 1.5, 1.5, 1.5, 1, -1, 0.5, 1, 0.5, 2, -0.5, 0.5, 1.5, 1.5, 1, 0.5, 0.5, 0.5, 0.5, 1, -3.33067e-16, -0.5, 2, 1.5, 1, 1, 1.5, 1.5, 1, -1, 1, 1.5, 0.5, 0.5, 1.5, 1, 1, 1.5, 1, 0.5, -3.33067e-16, 0.5, 0.5, 1.5, 2, 2, 1.5, 2.22045e-16, 0.5, 1, 1.5, 1.5, -0.5, 1.5, 1, 1.5, 1, 1, -1, 1, 1.5, 0, 2, 1.5, -0.5, 1, 1, 2, 1, 1.5, 1, 0.5, 2, 1, 0.5, 0, 1.5, 0, -0.5, 0.5, 0.5, 0.5, 0.5, 0, 1, 1, 1.5, 1, 0.5, 1, 1, 0.5, 2, 0.5, 1, 1.5, 1.5, 2, 1.5, 1.5, 0.5, 1, 1, 1, 1, 2, 0.5, -1.11022e-16, 3.33067e-16, 1, 1.5, 1.5, 2, 0.5, 1.5, 1.5, 1.5, 1, 2, 1, 0, 2, 1.5, 1.5, 0.5, -0.5, 2, 1, 1.5, 0, 1, 0.5, 2, 1, 1, -1, 2, -0.5, 1, 2.22045e-16, 1.5, 1.5, -0.5, 1.5, 1, -0.5, 1, 1, 0, 1.5, 1, 0.5, 1, 1, 1.5, 0, 0, 0.5, 1, 1, 0, 0.5, 1, 0.5, 0.5, 1
2, 1.5, 1, 1.5, 1.5, 1, 2, 1, 0.5, 1, -1, 1, 2, 2, 1.5, 0.5, 2, -0.5, 0.5, 0.5, 1.5, 0.5, -1.5, 0, -0.5, 1.5, 0, 1, 0, 0.5, 1, 1.5, 0, 1, 1, 2, 1.5, 1.5, 1, 0, 1, 1, 1.5, 0.5, 1.5, 0.5, 2, 1.5, 1.5, 1, 0.5, 0.5, 1.5, 1, 0.5, 1, 1, 1, 2, 1, 1, 1, -1, 1, 2, 1, 1.5, 1, 1.5, 2, 1, 1, 0.5, 0, 1.5, 1, 1.5, 1.5, 2, 1, -0.5, 2, 0.5, 0, 1.5, 0, 1.5, 0, 0.5, 1.5, 1, -0.5, 2, 1, 2, 1, 1, 0.5, 2, -0.5, 2, 1, -0.5, 1, 1.5, 0.5, 1.5, 2, 0.5, 1.5, 1.5, 1.5, 1.5, -0.5, -0.5, 1.5, 0.5, 2, 3.33067e-16, 1, 1, 0.5, 1, 0, 0.5, 2, 1, 1.5, 1.5, 0.5, 2, 1.5, 1, 1.5, 1, 1, 0.5, 1, 0.5, 0, 1, 1, 2, 1.5, 1.5, 0.5, 0.5, 0.5, 0.5, 1.5, 0.5, 1.5, 0.5, 1.5, 0.5, 0, 0.5, 1, 1.5, 1, 0, 1, 1.5, 1.5, 1, 1, 1, 1.5, 1.5, -0.5, 1.5, 1, 0.5, 2, 1, -0.5, 0, 1.5, 0.5, 2, -0.5, 0.5, 2, 0, 1.5, -0.5, 1, 0.5, 1.5, 1, 1, 1.5, 1.5, 1.5, 0.5, 0.5, 0, 1.5, 0.5, -3.33067e-16, 1.5, -0.5, 0, -0.5, 2, 1, 1.5, 0, 1, 2, 1, 0, 0.5, 1, 2.22045e-16, 2, 0.5, 1, 2, 1.5, 1, 0.5, 1, 1, 0.5, 2, 1.5, 0.5, 2, 1.5, 0, 1, 1.5, 1, 1.5, 1.5, 1.5, 0, 1.5, 1.5, 1.5, 2, 2, 3.33067e-16, 1.5, 1, 0.5, 1, 1, 0.5, 0.5, 1, -1.5, 0, 1, -0.5
1, 2, 1, 0.5, 1, 1, -1.11022e-16, 1.5, 1, 2, 1.5, 2, -0.5, 1, 1.5, 1, 2, 3.33067e-16, 0, 1.5, 1.5, -0.5, 0.5, 0, 1, 1, -0.5, 2, 0.5, 0.5, 1, 1.5, 2, -0.5, 2, 0.5, 1, 0.5, 1.5, 2, 0.5, 1, 1.5, 1.5, 1.5, 1.5, 0.5, 1.5, 0, 1, 0.5, 0.5, 1, 1.5, 0.5, 1.5, 1.5, 1, 1.5, 0.5, 0.5, 1.5, 1, 0.5, -0.5, 2, 1, -0.5, 1.5, 0.5, 1.5, 1, 1.5, 1, 3.33067e-16, 1, 0.5, 0.5, 0.5, -1.5, 1.5, 1, 0.5, 1, 1, 1.5, -0.5, 1.11022e-16, 0.5, 1, 0.5, 0, 2, 1, 0.5, 1, 1, 1.5, 1.5, 0.5, -0.5, 0.5, 1.5, -0.5, 1.5, 0.5, 3.33067e-16, 2, 1.5, -3.33067e-16, 0, 0.5, 2, 0.5, -0.5, 1, 1.5, 1, 0.5, 1.5, 2, 2, 1, 1.5, 1.5, -0.5, -1.11022e-16, 1.5, 1, 0.5, -0.5, 1.5, 1.5, 1.5, 0.5, 0.5, 1.5, 1, 1, 2, 1.5, 0.5, 2, 2, 1.5, 0.5, 1.5, 1, 2, 0.5, 1, 0.5, 1, 1.5, 2, 2, 1.5, 1, 0.5, 1.5, 1, 1, 1, -1, 1.5, 1.5, 1, 1, -1, -0.5, 1, 2, 0.5, 1, 1.5, 1.5, 1, 0, 1, 1, 1, 1, 1.5, 1.5, -1, 1, 1.5, 0.5, 0.5, 1, 1, 1, 0.5, 2, 1, 0.5, 1.5, 0.5, 1, 2, 1.5, 1, 1.11022e-16, 1, 1.5, 1.5, 1.5, 1.5, -3.33067e-16, 1, 1.5, -0.5, 1, 2, 1, 2, 2, 0, 1.5, 1, 1, 0, 1, 2, 1.5, 2, 1.5, 1.5, 0.5, 1, 1, 0.5, 0, 2, 1, 2, 1.5, 1.5, 2, 0.5, 0, 0.5, 1.5, 1, 0, 1.5, 0.5, 0, 1, 1.5, 1.5, 1, 1, 0, 1, 3.33067e-16
1.5, 1, 1.5, 0.5, 2, 0.5, 1.5, 1, 1.5, 1.5, 1, 2, 0.5, 1.5, -0.5, 2, 1, 0.5, 1.5, 1, 1, 0.5, 1, 1, 2, -0.5, 1.5, 1.5, 0, 0.5, -1, 1, 1, 1.5, 1.5, 1.5, 1.5, 0.5, 0.5, 1, 0.5, 1, 1, 1.5, 1.5, 1.5, 0.5, 0.5, 2, -1, 0, 2, 0.5, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 0, 1.5, 2.22045e-16, 0.5, 0.5, 1.5, 1.11022e-16, -1, 1, 0, 1, 1, 1, 0.5, -1.5, 0, -1.11022e-16, 2, 0.5, 1, 0, 1.5, 1.5, 0, 2, 0.5, 1.5, 1.5, 1.5, 1, 0.5, 1, 1.5, 0, 0, 0.5, 1, 1.5, 2, 1, 0, 1, 1, 2, 1.5, 1, 0, 2, 3.33067e-16, 1.5, -0.5, 0.5, 1.5, 1, 0.5, 0.5, 1.11022e-16, 0.5, 0.5, 0.5, 2, 2, 2, 2, 1, 1, 0, 1.5, 2, 1, 0.5, 1.5, 0.5, 1.5, 1.5, 1.5, 1, 0.5, 1.5, 1, 1, 2, 0, 0.5, 1, 0.5, 0, 0, 1, 2, 2, 1, 0.5, 0.5, 0.5, 1, 0, -3.33067e-16, 0.5, 0.5, 1.5, 1.5, 2, 1, 1, 1, 1, 1.11022e-16, 2, 0, 2, 1, -0.5, 1, 1, 0.5, 0, 1.5, 0.5, 2, 2, 0.5, 0, 0.5, 1.5, 2, 1, 1.5, 0, -0.5, 0.5, 0.5, 1, -3.33067e-16, 1, 0.5, -0.5, 2, 1.5, 1.5, 1.5, 1.5, 0.5, 1.5, 1.5, 1, 0.5, 0, 0.5, 0.5, 2, 1, 0.5, 1, 1, -0.5, 1, 1.5, 2, 0, 1, 1.5, 1.5, 1, 1, 1.5, 0, 0.5, -1.11022e-16, 0.5, 0, 1, 0.5, 0.5, 2, 3.33067e-16, 2, 1, 1, 1.5, 1.5, 2, 1.5, 0.5, 1, 1, 1, 1, 1.5, 0.5, 0, 0.5, 1.5, 0, 1, 0, 0.5
0, 1, -1.11022e-16, 0.5, 3.33067e-16, 1, 1, 1.5, 1, 2, 1, 1, -0.5, 0.5, 2, 0.5, 1, 1, 0.5, 2, 1, 1.5, -0.5, 1, 1.5, 1.5, 1.5, 1.5, 0.5, 1.5, 0.5, 0.5, 1, 2, 1, 1, 2, 0.5, 1.5, -1.11022e-16, 3.33067e-16, 1, 1, 0, 1, 2, 1, 0.5, 0.5, 0, 1, 0, 1.5, 1.11022e-16, 1.5, 1.5, -0.5, -0.5, 1.5, 0, 1, 0.5, 2, 0.5, 0.5, -1.11022e-16, 1, -1, 1, 0, 1, 1.5, 1, 1.5, 2, 0.5, 1, 1, -3.33067e-16, 0, 2, 1, 0.5, 1, 2, 0, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 1.5, 1.5, 0.5, 1.5, 0.5, 1.5, 0, 0.5, 1.5, 0.5, -0.5, 0.5, 1.5, 0.5, 1.5, 0.5, 2, 0, 1.5, 1, 0, 1, 2, 2, 0, -1.11022e-16, 1, 1.5, 1.5, 0, 0.5, 2, -0.5, 1, 1, 2, 1.5, 1.5, 0, 1.5, 0.5, 2, 2, -3.33067e-16, 0, 1.5, -3.33067e-16, 0.5, -0.5, 1, -0.5, 1, 1, 2, 1.5, 1, 2, 1.5, 1, 0.5, 0.5, 2, 0.5, 0.5, 1.5, 2, 2, 1.5, 1.5, 0.5, 1.5, 1.5, 2, 0, 0.5, 0.5, 1.5, 0.5, 0.5, -0.5, 0.5, 1, 1.5, 1.11022e-16, 1, 0.5, 0.5, 1.5, 1, 0.5, 0.5, 1, -0.5, 0.5, 2, 0, 0, 1.5, 1, 1, 2, 1, -1.5, 0, 2, 1, 1.5, 1, 1, 0, 2, 2, 1.5, 0.5, 0.5, 0.5, 1.5, 1.5, 1.5, 1, 1, 1.5, 1, 0.5, 0.5, 0.5, 1, -0.5, 1.5, 1, -3.33067e-16, 1.5, 1.5, 1, -0.5, 0.5, 0.5, 1.5, 0, 1, 1.5, 1, 1, 1.5, 1, 1, 1.5, 1.5, 1.5, 0, 0.5, 1, 1, 2, 1.5, 1, 1, 1, 1.5, 0.5, -0.5, 3.33067e-16, 2, 1.5
0.5, 1, 0, 0, 1, 0, 2, 1.5, 1.5, 1.5, 0.5, 1, 1.5, -3.33067e-16, -0.5, 1.5, 1, 2, 0.5, 1.5, 0.5, 1.5, 1.5, 1.5, 1.5, 1, 1.5, 0.5, 0.5, 1.5, 1, 1, 1.5, 0.5, 0.5, 2, 0.5, 1.5, 1.5, 0.5, 1, 0, 1.5, 1, -0.5, 1, 1.5, 0.5, 1.5, 1.5, 1.5, 1.5, 0.5, 1.5, 2, 0, -0.5, 1.5, 1, 0.5, 0.5, 1.5, 1, 1, 1, 0.5, 0.5, 1, 1, 1, 0.5, 0.5, 1.5, 0.5, 1.5, 1.5, 2, 1.5, 1.5, 1.5, 0.5, 1.5, 0.5, 0.5, 1.5, 1, 1.5, 0.5, 1, 1, 1.5, 0.5, -0.5, 1, 2, 1.5, 2, 1.5, -0.5, 0.5, 1, 0.5, 1.5, 1.5, 1, 2, -3.33067e-16, 1, 0.5, -1.11022e-16, 2, 1, 2, 1, 0, 1, 1.5, 0, 1, 2, 1, 1.5, 0, 2, 0.5, 0.5, 1.5, 1.5, 0.5, 2, -0.5, 0.5, 1.5, 1, -1, 3.33067e-16, 1, -0.5, 1, 0.5, 1.5, 0.5, 1.5, 1, 1.5, 1.5, -0.5, 1, 1, 0.5, 0.5, 2, 0.5, 1, -0.5, 0.5, 1, 0.5, 1, 1, 1.5, 1.5, 0.5, -0.5, -1, 1, 1, 2, 1.5, 1.5, -0.5, 0, 1.5, 0.5, 2, 0.5, 2, 0, 1.5, 1, 2, 0.5, 1.5, 1, 1.5, 0.5, 0.5, 0.5, 1.5, 1, 0, 1, 0.5, 2, 1.5, 0.5, 1.5, 2, 0.5, 1.5, 2, 1, 1.5, 1, 1.5, 0.5, 1, 1.5, 0.5, 1.5, 0, 0.5, 2, 1.5, -1.5, 1, 1.5, 1, 1, 0, 1.5, 1, 2, 1, 1, 0.5, 1.5, 1, 2, 1, 1.5, 0.5, 1, 1.5, -1.5, 1, 1.5, 1, 0.5, 1, 2, 1, 2, 1.5, 1, 1.5, 0, 0, 1, 1, 2, 1, 1.5, 2, 1, 1
0, 2, 3.33067e-16, 0.5, 0, 2, 3.33067e-16, 0.5, 0.5, 0.5, 0, 2, 1.5, 1, 0.5, 1, 1.5, 3.33067e-16, 1, 1.5, 1.5, 1.5, 1, 1.5, 1.5, 0.5, 1, 0.5, 1.5, 1, 1.5, 0.5, 2, 1.5, 1, 1.5, 1, 1, 2, 0.5, 1.5, 1.5, 1, 1, 2, 0.5, 1.5, 3.33067e-16, 1.5, 0.5, 2, 1.5, 1.5, 1.5, 1.5, 1.5, 2, 0.5, -1, 1.5, 1, 1.5, 3.33067e-16, 1.5, 0.5, 1, 1, 2, 3.33067e-16, 0.5, 2, 1.5, 3.33067e-16, 2, 0.5, 1, 1, 2, 1, 0.5, 1, 2, 1.5, 1, 1, 0.5, 1, 1, 1.5, 0, 1, -0.5, -3.33067e-16, 0.5, 1.5, 1.5, 1.5, 2.22045e-16, 2, 1.5, 1.5, 0.5, 1.5, 0.5, 2, 2, 0.5, 3.33067e-16, 0.5, -1.11022e-16, 1.11022e-16, 1, 1.5, 1, -0.5, 1, 3.33067e-16, 1, 0.5, 0.5, 2, 0.5, 1, 1.5, 1.5, 1.5, 1, 0.5, 1.5, 1.5, 1, 0.5, 2, 0, 0.5, 1.5, 1.5, 0.5, 0.5, 0.5, 1, 0.5, 1, 1, 2, 0.5, 0.5, 0, 1, 1.5, 0.5, 0, 1, 1.5, 0.5, 1, 2, 1, 2, 1.5, 0.5, 0.5, 0.5, 1, 1, 0.5, -1, 1.5, 0, 1, -0.5, 1.5, 1.5, -3.33067e-16, 0, 0, 1.5, 1, 0.5, 1, 2, 1.5, 2, 1, 2, 1, 1, 1.5, -3.33067e-16, 0.5, -1, 2, 0.5, 1.5, 1, 0.5, 1.5, 1, 0.5, 0.5, 1.5, 0, 0.5, 0.5, 0.5, 0.5, 3.33067e-16, 0.5, 0.5, 2, 1.5, 1, 1, 2, 1.5, 2, 0.5, 1.5, 0.5, 0, 1, 0.5, 1.5, 0, 2, -0.5, 1, 1.5, 1.5, 0.5, 1.5, 2, 1, 0, -1, 1.5, 1.5, 0.5, 1.5, 1, 0.5, 1.5, 1, 1.5, 0.5, 1, -0.5, 0, 0.5, 1, 1.5, 0.5, 1, 0, 1.5, 0
1, 0, 0, 1, 3.33067e-16, 1.5, 1.5, 2, 1.5, 1.5, 1.5, 2, 1.5, 1, 0.5, 1.5, 1, 1.5, 1.5, 0, 0.5, 2, -0.5, 0.5, -0.5, 1.5, 1.5, 1, 1, 1.11022e-16, 1.5, 0, 1.5, 1, 0.5, 1.5, 3.33067e-16, 0.5, 2, 0.5, 0.5, 1, 2, 1, 1.5, 1.5, 1, 1.5, 1, 0.5, 0.5, 2, 0.5, 1.5, 0, 0.5, 1.5, 1.5, 0, 1, 2, 2, 0, 1.5, 1.5, -3.33067e-16, 1, 1.5, 1.5, 2, -1, 1, 1.5, 1.5, 0, -1, 1, 1, 2, 1, 0.5, 0.5, 1, 1, 0.5, 1.5, 1, 0, 0.5, 1.5, 0.5, 1, 2, 2, 1.5, 1.5, 1, 0, 0, 0.5, 0.5, 0, 1.5, 0.5, 1, 1, 1.5, 1.5, 1.5, 1.5, 2, 0.5, 1, 0, 1, 0.5, 2, 0, 2, 1.5, 1, -1, 0.5, 2, -0.5, 1.5, 0.5, 1.5, 1, 0.5, -0.5, -1, 3.33067e-16, 0, 0, 1.5, 1.5, 1.5, 0, -0.5, 2, 1.5, 1.5, 0.5, 1, 1, 0.5, 0.5, -0.5, 1.5, 1.5, 0.5, 0.5, 2, 0.5, 1.5, 0, 1.5, 3.33067e-16, 1.5, 1.5, 2, 1.5, 1.5, 1, 1.5, 1, 1.5, 1.5, 1, 1.5, 1.5, 1.5, 1.5, 2, 1.5, -3.33067e-16, 0, 1, 1, 1, 1, 0, 1, 1.5, 0.5, 1, 1.5, 1.5, 1, 1.5, 0, 2, 1, 0.5, 1, -0.5, 0.5, -0.5, 1, -0.5, 2, 1, 2, 0.5, 0.5, 0.5, 0.5, -3.33067e-16, 1, 2, 1.5, 0.5, 1.5, 1, -1, 0.5, 0.5, 0, 1.5, -0.5, 1.5, 1, 1, 1.5, 1, 1.5, 2, 1, 2, 0.5, 1, 1.5, 1.5, 1.5, 1.5, 0.5, 1.5, 2, 0.5, 1, 1.5, 1, 2, 0.5, 1, 0.5, 1.5, 0.5, 1, 1, 1, 1, -1, 2, 2
0, 1.5, 1.5, 2, 1, 0, 1.5, 1.5, 1.5, 0.5, 1, 1.5, 1.5, 1, 1, 1.5, 0.5, 1, 1.5, 0.5, 1.5, 0.5, 3.33067e-16, 1.5, 1.5, 2, 1, -0.5, -1, 1.5, -3.33067e-16, 0.5, 1.5, 1.5, 0.5, 0.5, 1.5, 2, -0.5, 1, 1, 0.5, 1, 1, 0.5, 2, -0.5, 0.5, 0.5, 1.5, 1, 1, 0.5, 1, 0, 1.5, 0, 1, 0.5, 2, 1, 2, 2, 1, 1, -0.5, 1, 1.5, 0.5, 1.5, 2, 0.5, 1.5, 1.5, 3.33067e-16, 1, 1.5, 0.5, 1.5, 1, 1.5, -3.33067e-16, 1.5, 1.5, -0.5, 1, 0, 0, 0.5, 0.5, 0.5, 0.5, 3.33067e-16, 2, 0.5, 1.5, 1.5, 1.5, 0.5, -0.5, 1.5, 1.5, 1, -0.5, 1, 1, 1.5, 1, 0.5, 1, 2, 1.5, 1, 1.5, -1, 1.5, 1.5, 0.5, 0, 1, 0.5, 0.5, 1, 1, 0.5, 1.5, -3.33067e-16, 0.5, 1.5, 1.5, -0.5, 1.5, 1, 1.5, -0.5, 0.5, 0, 2, 1, 1.5, 1, -1, 1.5, 1, 0.5, -0.5, 1.5, 3.33067e-16, 0.5, 1, 0.5, 1, 0.5, 1, 2, -3.33067e-16, 1, 0.5, 2, 0.5, 0.5, 1.5, 0.5, 0.5, 0.5, 1.5, 0.5, 1, 0.5, 1.5, 0.5, 0.5, 1, 0, 1, 3.33067e-16, 0.5, 1.5, 1, 1.5, 0.5, 2, -1.11022e-16, -3.33067e-16, 1.5, 2, 1, 0, 1, 1, 1.5, 1.5, 0, 1.5, 1.5, 1, 0.5, -0.5, 1.5, 1.5, 0.5, 1.5, 2, 0.5, 1, 0.5, 1, 0.5, 1.5, -3.33067e-16, 0.5, 0, 2, 1, 0.5, 2, 1, -0.5, 0.5, 1.5, 1.5, 0, 1, 1, 1.5, 1.5, 0.5, -1.11022e-16, 0, 0, 1.5, 1, 1, 3.33067e-16, 0.5, 1, 1, 1, 1, 0, 0.5, 0, 0.5, 0.5, 1, 1, 0.5, 2, 2, 0, 0.5, 1, 1.5, -1, 0, 0.5
1, 1.5, 2, 1.5, 1.5, 1.5, 1, 0.5, 1, 3.33067e-16, 1, -1, 0.5, 1.5, 1, 0.5, 1.5, 1, 0, 0, 1, 1.5, 2, 0.5, 1, 2, 2, 0, 1, 0.5, 1, 1.5, 1.5, 0.5, 0.5, 0.5, 1.5, 0.5, 1.5, 0.5, 2, 2, 0.5, 2, 2, 1, 0, 0.5, -3.33067e-16, 0, 1.5, 1.5, 1.5, -0.5, 1.5, 1.5, 1.5, 1, 0, -0.5, 2, 2, 2, 0, 1, 1, 1.5, 1.5, 1, 1.5, 2, 2, 1, 1, -3.33067e-16, 0.5, 2, 1, 1, -1, 1.5, 1.5, 0, 1.5, 0.5, 1, -1.11022e-16, 1.5, 1, 0, 1.5, 1.5, 1, 2, 1.5, 0.5, 2, 1.5, 1, 1, 1, 3.33067e-16, 1.5, 0.5, 0.5, 0.5, 0.5, 0, 1, 1.5, 1, 1.5, 1.5, 1, 1, 2.22045e-16, 1, 1, 0, 1, 1.5, 0.5, -1, 0.5, 1, 1, 1.5, 0.5, 2, 0.5, 1.5, 1, 1, 1, 0.5, 0.5, -0.5, -1.11022e-16, 2, 1.5, 1, 1, 0.5, -0.5, 0, 2, 1.5, -0.5, 1.5, 0, 1, 1.5, 1.5, 0.5, 2, 1.5, 1.5, 1, 1, 1.5, 3.33067e-16, 1, 0.5, 1.5, 0, 2, 0.5, 1, 1.5, 2, 1.5, 0.5, -1.11022e-16, 1.11022e-16, 2, 1.5, 0.5, -3.33067e-16, 1.5, 1.5, 1.5, 1, 1, 1.5, 0.5, 0.5, 1.5, 2, -0.5, 1.5, 1, 1.5, 0.5, 0.5, 1, 0, 1, 0.5, 0.5, 1, 1, 0.5, 1, 1.5, 0.5, 1, 0.5, 1, 1, 1.5, 2, 2, 0.5, 1, 1, 1.5, 1.5, 0, 1.5, -1.5, 1, 2, 1, 0, 1.5, 1, -0.5, 0, 3.33067e-16, 1, 1, 0.5, 1, 1.5, 1, 0.5, 0, -0.5, 2, 1, -3.33067e-16, 0.5, 1, 1, 1.5, 3.33067e-16, 0.5, 2, 1, 1, 1.5, 1.5, 0.5, -0.5, 1.5, -0.5
1.5, 1.5, 1, 0, 0.5, 0.5, 0.5, 1, 1, -0.5, 2, 0.5, 1, -3.33067e-16, 2, 2, 0.5, 1, 1, 0.5, 1.5, 1.5, 2, 0, 0.5, 0.5, 1.5, 0.5, 1.5, 1, 1, 1.5, 0.5, 0.5, 1, 1.5, 0.5, 1.5, 1.5, 1.5, 0.5, 1, -0.5, 0.5, 1, -3.33067e-16, 1.5, -0.5, -0.5, 1, 0.5, 0, 0, 0.5, 0, 3.33067e-16, 1, 0.5, 1.5, 1, 1.5, 0.5, 0.5, 1.5, -1, 2, 0.5, 1, 0.5, 1.5, 0.5, 2, 1, 1, 1.5, 0.5, -1.11022e-16, -0.5, 1, 0, 1.5, 2, 1.5, 1, 1.5, 1.5, 0.5, 0.5, 2, 1, 2, 1.5, 0.5, 1.5, 1, 1, 0, 1.5, 2, 0, -3.33067e-16, -0.5, 1, 2, 1.5, 2, 0.5, 1.5, 2, 0, 1, 1.5, 0, 2, 1.5, 1.5, 1.5, 1.5, 2, 0, 1.5, 1, 1, 0.5, 1, 0.5, 1.5, 2, 0, 1.5, 1.5, 1.5, 1, 1, 1.5, 1.5, 1, 1, 0.5, 0.5, 0.5, 0.5, 2, 1.5, 1.5, 0.5, 1, 1.5, 1, 0.5, 0.5, 1, 1, 1, 2, 1, 1, 1, 1, 0.5, 1.5, 3.33067e-16, 1.5, 1, 1.5, 1, 1, -3.33067e-16, 1.5, 0.5, 0.5, 1, 1, 0, 2, 0.5, 1, 1.11022e-16, 1, 1.5, 1, 1.5, 2, 0.5, -0.5, 0.5, 1, 1, 0.5, -0.5, 1.5, 0.5, 1.5, 1, 0, 0.5, 1, -1.11022e-16, 1, 1, 0, 1.5, -3.33067e-16, 2, 1.5, 1, 1, -1, 1, -0.5, 0.5, 1.5, 1, 1, 2, 1.11022e-16, -1.5, 0.5, 1, 0.5, 1, 0.5, 1.5, 1, 1.5, 1, 1.5, 1, 2, 1.5, 0.5, 1.5, 0.5, 0, 2, 1.5, 0.5, 2, 1.5, 1.5, 0.5, -1, 1, 0, 1.5, 0.5, 0, 0.5, -1, 1.5, 0.5, 1, 1, 1, 0.5, -3.33067e-16
